,text,status,predict_proba
32346,давайте творить добро вместе поможем маленькому максиму максиму сырчину из краматорска 4 года у него острый миелоидный лейкоз смертельная болезнь победить ее без трансплантации костного мозга он не сможет максиму нужна пересадка от неродственного донора а такие операции не проводят в украине украинские врачи стабилизировали состояние мальчика а р https goo gl icnynz ,0,0.9984498150525067
32347, ростовнадону помогите спасти жизнь необходимы доноры цельной крови любой группы желательно сдать до 26 04 2016 г подробности по ссылке http vk cc 554z76 перед сдачей крови на пункте переливания сообщите фио реципиента и больницу даже если не можете сдать в указанные сроки или не подходит ваша группа крови поддержите репостом регистрируйтесь в базе доноров donorsearch чтобы вас могли уведомить по электронной почте или смс о следующих просьбах вместе делаем одно хорошее дело donorsearch ростов ,0,0.9979583759928845
32349,анастасия кабашина sos срочно нужна помощь в отлове собаки у нас на дачах бегает собака со стальным шнурком на шее видимо душили он разрезал кожу из раны сочится кровь может кто умеет отлавливать и поможет я бы оплатила услуги ветеринара дача в черемушках рядом с городом тел 8950 430 5157 елена вирясова https vk com id321859532 ,0,0.7507011149139461
32353,в наличии ,0,0.9525506218970229
32354,что вы тянете на самом деле растяжка мышц в картинках ,0,0.8718962544091132
32358, москва помогите спасти жизни срочно нужны доноры цельной крови и тромбоцитов до 25 04 цельная кровь 4 группы vk cc 54wquu до 27 04 цельная кровь 2 для ребенка vk cc 54wr44 до 27 04 тромбоциты 1 группы vk cc 54wrbo до 30 04 тромбоциты любой группы vk cc 54wrhp перед сдачей крови на пункте переливания сообщите фио реципиента и больницу регистрируйтесь в базе доноров donorsearch чтобы вас могли уведомить по электронной почте или смс о следующих просьбах вместе делаем одно хорошее дело ,0,0.9989010353969161
32359,ищу новых хозяев для бездомного кота по кличке бродяга сейчас бродяга находится в ветеринарном госпитале зоозащитанн у него дерматоз блохи и весь набор для бездомного животного пока оплатила стационар и общий анализ крови кастрацию проведут чуть позже хотелось чтобы после выписки кот не оказался опять на улице а сразу попал в новый дом помощь нужна в поисках дома и оплатить доп услуги глистование обработка от блох и тд в ветеринарной клинике в придачу отдам лоток и сухой корм елена 89200606536 за репост спасибо ,0,0.9511226068605806
32368,возвращение мухтара 2 7 сезон 38 серия ,0,0.7820797451282581
32369,продам минск на ходу в хорошем состоянии второй минск в подарок как донор донор в отличном состоянии требуется замена колинвала и тоже можно ездить цена 13000 торг срочно ,0,0.9003872249068127
32370,теперь не нужно ходить в поликлинику и сдавать кровь на сахар ,0,0.9825131041110688
32371,говорил что не буду сегодня ставить но нашел очень интересный матч и не смог пройти мимо делюсь и с вами чемпионат испании примера дивизион севилья бетис прогноз п1 кф 1 55 севилья принимает сегодня бетис и дома хозяева должны разобраться с командой мерино хуана без проблем с этим согласны и букмекеры смотрите во первых севилья играет дома что дает ей преимущество перед соперником во вторых севилья более мотивирована на этот матч им нужна победа крови износу в отличие от бетиса который просто доигрывает сезон ,0,0.5749409033781556
32373,далее лестер суонси лестниц кровь из носу нужна победа для чемпионства потому что дальше будут трудные туры поэтому ставим победу кэф 1 7 камоооооон ,0,0.5715707825509214
32375,если мне кто то когда нибудь понадобится то я выберу самого сложного потому что я буду говорить что не люблю а на самом деле любить всем сердцем любить так как никто никогда не полюбит я могу с легкостью не отвечать на звонки не писать первой но знать что он мне нужен как воздух я могу быть каменной стеной холодной глыбой но по моим венам будет литься его кровь и он будет самым сложным человеком на земле потому что простой меня не поймет ,0,0.8300517408156713
32376,какого цвета кровь для дальтоника хз нужен эксперимент ,0,0.659313925161275
32378,плазмолифтинг вопросы и ответы 20 делается ли обезболивание перед процедурами это необходимо лишь при повышенной чувствительности пациента обычно анестезия не требуется 21 что представляют собой плазменная терапия и плазмопластика это бессмыслица выдумки тех кто не брезгует воровством чужих идей 22 существует ли мистический компонент в лечении с помощью фракций крови скорее всего нет авторы метода разрабатывали его опираясь лишь на научные исследования и законы жизнедеятельности клетки ,0,0.8069657419836846
32379,эй ты посмотри мне в глаза вскрой своё тело покажи мне себя какой ты внутри какой ты снаружи используй свой шанс ты только мне нужен ,0,0.8261200106088639
32380,минерал уникальные чистящие средства стоп 28 апреля http vk com album 31176115_224336285 ,0,0.7219286926525876
32381,мальчика 5 ти лет спросили готов ли ты отдать кровь своей сестре 2 года которая была при смерти и ей срочно нужно переливание крови он сказал что готов после переливания он тихо и испуганно спросил а через сколько минут я умру он думал что это будет стоить ему жизни но все равно согласился ,0,0.9884902331226798
32382, мне нужна твоя кровь расслабься дорогая я не собираюсь взять её я вежливо прошу конечно я возьму и истеку кровью непонятно для чего theoriginals kolmikaelson davinaclare kolvina ,0,0.6075787713891615
32383,закупка медтехника различное медицинское оборудование и другие полезные приборы выкуп 3 условия https vk com topic 23212419_33475903 альбом https vk com album 23212419_226951972 организатор https vk com anutik88 ,0,0.6704802064828412
32384, нет нет деймон пожалуйста ему нужна вся моя кровь это убьёт меня деймон деймон пожалуйста я не хочу умирать я не хочу умирать пожалуйста 5x05 ,0,0.9704328684787209
32387,каждый донор это герой ,0,0.9890157143579995
32389,кто нибудь слышал что в нашу больницу требуется донор с 3 кровью правда ли это ,0,0.9971179839655059
32390,в связи с присутствием в донецке и днр большого количества приезжих из других регионов и стран снг требование сдачи крови по прописке отменено предоставление справки об эпидокружении также не требуется военные ополченцы могут стать донорами без предъявления паспорта по удостоверению днр или же по позывным таким образом в донецке сдать кровь могут жители всей днр и оккупированной части донецкой области а ополченцы из любых областей украины а также россии белоруссии казахстана и других стран фонд_юго_восток свц донорство ,0,0.9659207556010546
32394,бескровным краска яркая нужна твоя же кровь и без того красна ,0,0.9222277675666918
32395, на самом деле любой нужна эта затертая всеми до дыр банальность банальные розы банальные смс с утра всем это же классика ,0,0.9186375577120967
32396,путин владимир владимирович вернуть льготы почётным донорам ,0,0.9679971562231461
32398,смотреть бесплатно дораму босс и я boss amp me shan shan lai le онлайн на русском или с субтитрами doramatv ru ,0,0.6315499172162429
